"","200","300","400","500","600","700","800"
"MB_t","0.188(0.312)","0.16(0.284)","0.126(0.238)","0.105(0.206)","0.09(0.177)","0.075(0.157)","0.064(0.135)"
"RSE_vs","8.881(0.611)","8.139(0.518)","7.692(0.459)","7.445(0.398)","7.261(0.389)","7.065(0.421)","6.894(0.399)"
"RMSE_vs","0.281(0.019)","0.257(0.016)","0.243(0.015)","0.235(0.013)","0.23(0.012)","0.223(0.013)","0.218(0.013)"
"SEN_vs","0.714(0.18)","0.904(0.112)","0.969(0.06)","0.993(0.027)","0.997(0.016)","0.999(0.011)","1(0.006)"
"SPE_vs","0.935(0.033)","0.929(0.042)","0.937(0.042)","0.949(0.039)","0.959(0.031)","0.964(0.031)","0.969(0.028)"
